var_0,var_1,var_2,var_3,quality
34,15,34,40,22.606143078150357
52,9,23,49,13.777243173596164
46,24,52,40,35.16392637355603
6,24,39,9,7.710440851639495
34,10,29,45,14.6753693536136
28,49,23,33,28.52706852303215
48,45,49,33,45.3335484258716
19,47,50,22,25.69204183275251
52,52,19,37,22.906520752615467
18,26,6,8,4.581829190463551
10,18,52,31,13.296711246863644
42,52,21,15,20.7828211894305
5,12,20,41,6.380362326438906
20,29,42,9,12.40638673476884
30,14,13,16,14.618996479480641
3,32,17,35,3.643359285151712
27,43,21,3,3.521110412390976
33,31,9,7,8.158094118546654
5,47,31,3,3.84186713685354
5,52,44,14,6.380362326438906
44,32,44,28,39.13950037625863
17,21,32,45,22.94159200946562
38,40,7,34,6.171741527903025
36,39,48,31,42.8176097307305
28,49,35,11,15.448635835385595
21,23,6,52,4.581829190463551
33,42,4,4,1.7374961342576345
12,3,17,39,4.322047634789132
10,37,16,24,13.237734285338645
22,33,41,38,29.839532186341643
52,42,25,42,31.087172314398458
50,10,38,33,14.675381337179065
43,26,6,22,4.581829190463551
38,44,4,52,2.0461696335446353
51,3,42,10,4.3209880176796345
25,50,20,23,24.19606560422235
29,41,43,22,31.231408962873296
49,51,30,18,25.6867927737633
29,22,47,39,33.38198370627715
13,28,3,38,1.2798835959636943
47,12,50,45,17.338260668567532
23,29,16,16,18.71600938321714
16,48,10,33,10.382303742576902
23,44,32,9,12.40638673476884
13,26,19,18,17.416802655582707
24,45,3,36,1.2798835959636943
42,32,44,13,18.227273497652114
41,45,5,9,3.306701985466447
8,35,17,19,10.504244000958812
18,26,40,12,16.24646562650957
18,36,8,29,7.613661361048425
52,50,16,15,18.050980927196164
45,32,19,8,11.385257925414827
30,13,13,46,14.384998468659349
48,39,9,35,9.100079595829946
15,12,38,39,17.039759372827195
41,22,18,50,21.52418364895102
19,47,7,14,6.171741527903025
40,31,7,22,6.171741527903025
45,25,21,10,13.29598592175499
47,17,39,50,24.28571844247545
50,29,5,40,3.306701985466447
18,10,22,36,14.671170030825905
28,17,9,36,9.100079595829946
26,17,47,6,8.786913675209291
36,22,44,7,10.077242479384134
31,29,13,46,14.748826161780944
30,30,41,33,39.83579118784031
14,32,51,29,18.817476941744857
40,31,32,24,33.33135772953687
49,30,40,42,41.877112786415296
13,5,12,12,9.988223572872466
6,52,16,43,7.710440851639495
7,5,22,46,9.012705503496758
24,49,46,19,25.852269701303044
52,22,4,9,1.8270113957808283
15,41,37,25,20.229309807366498
35,38,43,17,23.18951257063339
30,5,41,3,4.564041932809535
29,11,37,18,17.45251035795396
17,37,49,35,22.983509433070154
28,15,41,32,22.60621770024368
34,6,18,51,10.529506347943812
47,10,52,40,14.675381368985116
22,22,12,44,13.337273309863852
50,40,13,21,14.748826161780944
37,4,52,38,7.4950814797713186
5,34,8,43,5.672773675030038
39,38,37,37,47.54747867320877
13,11,40,9,12.293919459357609
15,42,8,11,7.613661361048425
4,30,33,10,4.9683996260209975
3,25,23,26,3.643359285151712
16,20,6,41,4.581829190463551
4,5,21,46,5.009172777048504
16,40,38,30,21.630848065935965
51,15,51,5,7.340551356923348
52,34,46,43,49.06760379339387
17,46,52,30,22.983509433070154
32,47,37,37,43.590382299487906
28,27,23,45,28.52706852303215
52,11,18,9,12.40638673476884
31,37,5,14,3.306701985466447
46,12,18,11,14.975764516195468
38,14,29,26,21.649101880831285
19,14,24,35,21.57561357329957
30,44,23,52,28.52706852303215
16,27,52,25,21.630848065935965
12,24,38,28,16.002886700582827
37,21,8,42,7.613661361048425
28,45,3,33,1.2798835959636943
11,11,20,49,14.365955447318722
29,34,13,46,14.748826161780944
21,42,41,17,23.353388012843745
5,29,50,48,6.380362326438906
50,13,9,7,8.158094118546654
42,51,4,24,2.0461696335446353
41,4,33,11,7.495051035858074
35,4,29,16,7.494782363970014
26,40,12,36,13.337273309863852
34,6,9,11,8.65740706220172
33,4,6,38,4.3050176461905725
49,25,26,46,32.81953437424595
24,7,25,43,12.69842805083215
30,20,35,25,28.750153257655153
39,23,29,41,32.61010684073461
17,16,31,32,22.189517410226884
38,12,9,34,9.100079595829946
50,31,3,41,1.2798835959636943
16,25,37,52,21.630848065935965
52,37,48,30,40.440882023545015
12,46,5,32,3.306701985466447
50,49,44,37,51.41391600761644
40,47,12,17,13.337273309863852
48,48,47,47,61.28387572017785
26,32,34,43,35.27852427812608
43,9,14,5,7.2692338331421125
44,35,27,47,33.91172232497898
5,6,23,9,6.372460316106066
12,16,34,19,15.947779139801225
31,13,45,4,6.165207432065431
11,37,29,15,14.647812190423334
8,29,9,39,8.23750792919137
36,23,17,23,20.154154428458536
22,6,27,24,10.530994928565253
43,30,17,22,20.154154428458536
49,5,25,4,5.136407747542988
29,27,48,45,38.4248307547934
37,43,3,13,1.2798835959636943
36,21,22,13,18.227273497652114
20,3,28,49,4.322726747138605
48,20,15,42,17.285239473573633
13,14,51,38,17.265303062701406
32,10,44,25,14.67536211828814
46,8,22,40,13.977705153837947
50,39,10,15,10.382303742576902
52,33,29,30,36.58786890778029
9,38,8,15,7.613661361048425
9,14,25,5,7.622827620039202
38,39,11,24,11.771938983616257
20,13,17,14,18.211217361767087
5,3,38,27,3.9317965389860876
16,22,8,5,6.589204287736953
25,19,27,34,27.265277579811908
41,42,51,30,40.440882023545015
22,33,17,5,7.340551356923348
17,8,9,28,8.88841115171736
22,8,48,49,13.976126437928134
46,30,42,20,27.38858802049817
42,27,10,7,9.325702830398948
34,34,24,25,29.646348037415766
49,22,13,17,14.476212086726052
44,8,34,35,13.976415030927182
30,34,40,27,37.88473589183342
15,30,20,14,18.570111398199362
42,49,24,34,29.88364207884479
46,12,8,27,7.613661361048425
22,52,22,42,27.11709549081363
8,43,36,44,10.532551802911058
44,10,10,51,10.149896547435048
31,34,9,24,9.100079595829946
13,27,35,13,16.88764517386803
21,42,21,19,24.196278676093765
16,47,5,44,3.306701985466447
39,50,39,43,50.52478575149785
7,44,22,9,8.938123139524976
8,4,10,23,6.994279804565606
48,11,5,15,3.306701985466447
14,46,28,14,18.421793773449192
49,27,38,13,18.227273497652114
31,21,46,15,20.7828211894305
23,21,49,27,29.402838476645172
8,40,32,4,5.815786456824123
52,8,50,42,13.976414698936402
12,44,38,43,16.002886700582827
48,14,3,23,1.2798835959636943
29,16,31,30,24.006089165165072
13,38,19,13,16.88764517386803
15,35,47,4,6.165207432065431
4,46,41,33,5.030152666954766
49,44,29,5,7.340551356923348
45,12,24,49,17.340167068326227
24,10,12,39,12.52020983400484
23,37,6,4,3.691405588035336
44,27,12,27,13.337273309863852
42,25,4,6,1.8270113957808283
38,22,10,21,10.382303742576902
20,41,27,48,27.099310934879416
41,48,49,16,22.211547987002767
34,29,51,18,25.6867927737633
9,28,27,34,11.945135747096126
36,24,10,28,10.382303742576902
5,30,20,42,6.380362326438906
7,52,29,21,9.071009128282014
48,9,13,35,13.17474420970553
50,8,31,40,13.976416186930745
30,9,25,48,13.777403332289765
13,26,28,48,17.4338837230921
13,48,32,48,17.4338837230921
31,21,31,21,28.710091116258738
44,22,33,4,6.165207432065431
12,4,3,8,1.3401169286635208
15,46,18,29,19.57052822891217
46,5,25,50,10.119297550311007
14,18,13,13,14.384998468659349
9,28,35,50,11.945135747096126
17,5,24,36,10.118967659201683
9,17,37,27,11.945135747096126
29,9,46,21,13.777563503809796
4,10,22,35,4.9683996260209975
38,36,49,10,13.29598592175499
38,15,48,5,7.340551356923348
30,26,20,4,6.165207432065431
51,50,46,40,55.94602889793345
23,34,25,50,30.00180658676201
5,41,40,44,6.380362326438906
7,51,32,25,9.071009128282014
49,14,26,38,21.65035411537091
35,50,9,36,9.100079595829946
40,39,36,9,12.40638673476884
37,18,44,42,27.96262733825851
41,28,5,44,3.306701985466447
12,27,50,23,16.002886700582827
12,8,9,8,8.50883406966531
43,51,6,43,4.581829190463551
41,38,23,4,6.165207432065431
7,22,23,6,7.360878976767139
47,24,15,48,17.285239473573633
3,8,16,21,3.643359285151712
15,30,43,34,20.229309807366498
30,8,36,33,13.976413104268921
47,42,27,39,33.91172232497898
41,8,44,11,13.718740649035517
33,31,45,32,43.256709726954256
23,25,30,48,31.262883365914554
32,3,40,18,4.322722605510799
26,27,49,20,27.38858802049817
31,50,34,49,41.38054744126207
22,15,50,13,17.35112944517131
47,45,23,46,28.52706852303215
47,45,23,42,28.52706852303215
34,26,31,49,37.38523534451973
24,14,19,37,21.39392129073134
35,13,9,35,9.100079595829946
37,20,13,39,14.748826161780944
9,33,21,9,11.284890732824149
34,47,10,35,10.382303742576902
43,52,22,9,12.40638673476884
36,45,17,13,17.905500834180206
12,4,10,23,7.26744837073597
39,16,26,35,24.004245889938566
16,45,35,26,21.630848065935965
27,9,32,9,12.40638673476884
31,19,28,28,27.281700833437448
6,47,31,34,7.710440851639495
23,24,38,39,31.162109148528582
7,31,32,24,9.071009128282014
29,12,48,36,17.338259303406748
20,30,26,36,27.099310934879416
24,23,11,48,11.771938983616257
20,16,18,17,20.666426662147
10,41,22,29,13.296711246863644
19,20,28,21,25.379643637611128
20,32,45,12,16.24646562650957
13,36,43,38,17.4338837230921
20,35,44,3,3.521110412390976
36,41,4,34,2.0461696335446353
44,7,12,20,12.508736218074262
51,16,40,11,15.698997137223804
37,4,17,36,7.4936185360090315
6,48,41,49,7.710440851639495
4,6,25,49,5.009172777048504
48,49,41,40,52.81334888911175
41,45,42,21,28.710091116258738
49,17,52,41,24.285718221379486
41,42,24,36,29.88364207884479
22,52,47,27,29.839532186341643
24,25,43,48,32.49218964505515
5,32,5,13,3.430091222825269
48,28,42,9,12.40638673476884
15,23,24,39,20.229309807366498
34,49,27,26,33.235588484861154
45,46,19,41,22.906520752615467
39,36,27,21,28.5102773844435
18,20,35,33,24.24343319780919
21,31,47,11,15.448635835385595
27,20,6,20,4.581829190463551
37,21,23,48,27.82394653029663
23,24,35,18,25.47478325397416
50,21,42,40,29.893203957452045
20,44,38,47,27.099310934879416
28,51,4,26,2.0461696335446353
9,49,21,42,11.945135747096126
21,14,42,5,7.340551356923348
37,30,34,10,13.29598592175499
10,26,38,35,13.296711246863644
52,11,47,44,17.451013941185117
26,20,36,37,28.721597966587613
12,14,40,26,15.924614014293734
25,9,5,39,3.306701985466447
27,35,8,33,7.613661361048425
48,30,34,43,41.68657082217636
31,42,47,28,38.87634609794612
22,15,9,4,6.082011308063616
52,25,48,38,36.38676152755028
21,26,47,9,12.40638673476884
26,12,51,17,17.30726977437691
28,17,17,9,12.40638673476884
11,12,14,33,14.310881352930842
13,46,39,27,17.4338837230921
46,49,20,7,10.077242479384134
6,50,4,49,2.0461696335446353
10,25,43,9,11.071513264698892
10,29,52,14,13.30071963065769
40,41,5,15,3.306701985466447
16,8,48,28,13.97928511689099
35,37,36,49,45.77899549991441
52,47,44,8,11.385257925414827
28,25,13,12,14.285356657797914
32,28,8,7,7.132230523495098
51,25,51,23,31.6144708443828
25,5,30,16,10.119319544986178
5,48,14,20,6.380362326438906
18,3,8,21,4.312891063422451
52,22,10,40,10.382303742576902
37,33,31,33,39.40735575140305
43,25,18,48,21.425309018493106
44,34,27,9,12.40638673476884
26,32,32,21,28.5102773844435
21,52,26,7,10.077242479384134
12,3,12,40,4.326291726108216
47,9,26,52,13.777523459729958
46,37,27,12,16.24646562650957
43,16,37,28,24.00639654206133
19,26,10,28,10.382303742576902
45,13,33,7,10.077242479384134
4,41,43,52,5.030152666954766
22,40,21,14,19.423162995153362
43,40,22,40,27.074072341678804
32,37,40,7,10.077242479384134
29,52,6,24,4.581829190463551
51,21,34,43,29.893396189863672
13,45,26,46,17.4338837230921
10,22,47,13,13.296711246863644
24,30,46,33,32.6175786392262
30,4,7,47,5.469486597555856
44,42,13,52,14.748826161780944
37,13,43,16,19.90840063142693
51,44,51,31,42.8176097307305
46,14,5,51,3.306701985466447
28,29,52,11,15.448635835385595
49,12,50,26,17.33823984580561
48,45,49,51,63.43740440844315
11,22,16,46,14.611358622709112
20,32,34,51,27.099310934879416
17,8,44,17,13.97928511689099
29,46,46,46,39.51774946780143
10,14,42,13,13.228297693625407
7,35,20,20,9.071009128282014
6,10,36,44,7.710440851639495
52,37,35,5,7.340551356923348
4,43,13,13,4.9683996260209975
8,13,6,18,4.581829190463551
