var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality
11,23,49,29,29,27,32,4.865260069662167
44,41,7,33,37,13,42,-21.189315024021987
47,10,6,44,40,13,24,-21.18931533260709
10,49,48,27,16,37,5,3.304708763997032
21,51,41,18,25,5,14,0.009795567339110958
24,23,44,43,6,27,47,-10.58771386356098
39,16,30,4,47,24,39,9.065226006807828
6,48,4,19,52,4,47,5.0083941091618054e-05
13,34,29,42,36,37,42,16.736710021075734
4,44,14,28,3,19,7,-21.203664835994207
17,23,36,46,8,42,36,-10.586873779044426
40,43,18,43,39,51,50,24.12055297697447
6,45,42,52,32,38,52,0.009885207023657526
10,34,31,34,14,49,46,3.304708763997032
22,11,6,19,43,36,27,-21.18931575225671
20,33,27,9,11,27,21,1.6162606126649113
9,13,13,11,19,48,19,1.6162606126649113
27,35,3,11,37,24,39,4.693079594855717e-05
22,35,8,50,18,13,34,-21.18931492463872
40,16,45,49,22,17,23,22.711551337171414
39,16,52,44,33,21,13,15.47248980882343
12,5,47,33,6,37,34,-10.587225940679659
28,22,44,16,19,24,42,25.049555882520732
6,44,3,38,21,21,46,5.0083941091618054e-05
45,5,39,7,25,5,5,0.009905043210429988
17,30,6,43,52,14,48,-21.189301713213005
36,3,5,7,27,23,30,0.009794753379968144
28,10,48,22,31,33,50,30.427282143682078
15,10,11,19,52,30,14,14.068914459336982
48,18,38,22,36,23,38,30.869992080159417
13,3,24,20,43,37,33,16.748592234680373
45,41,50,14,44,43,32,22.737188795074086
48,47,18,41,25,25,10,11.391300363204488
14,41,46,7,26,29,44,13.419275111682117
20,52,42,33,4,32,26,-21.19150759402069
47,38,8,45,12,41,38,-21.189315024021546
52,48,8,20,27,21,43,-21.189315198919513
12,34,36,24,44,19,45,15.53283982115792
11,16,30,19,15,4,51,4.693079594855717e-05
20,44,20,36,46,49,42,25.417697818626767
26,12,4,5,27,44,3,5.0099679236701575e-05
12,39,8,5,48,35,27,-21.191772745198314
21,21,10,12,33,52,15,12.968564997975605
46,25,7,24,43,44,35,-21.1893150405425
44,19,49,27,5,40,25,-21.188045425262303
35,51,36,45,11,42,46,16.866918952642205
43,11,20,51,44,34,52,26.85241626404748
15,32,31,36,5,41,15,-21.18810507525655
37,45,37,38,20,15,20,19.884597210879324
38,34,35,25,38,5,37,0.009796561851677776
23,24,10,10,13,18,26,3.304708763997032
10,14,10,37,26,49,5,3.304708763997032
8,17,14,30,6,7,51,-21.178133930838857
49,14,48,39,40,16,48,21.3571006236087
10,4,51,12,11,21,35,3.304708763997032
15,32,31,43,41,45,20,19.576266629800102
42,9,41,44,13,44,11,12.659839133663548
22,29,38,36,15,29,28,20.89255110894517
25,47,9,16,49,41,41,-10.587504837997189
18,8,36,33,8,24,21,-10.586861279244076
42,33,11,24,23,12,38,-10.586530062709478
52,16,36,19,10,9,11,-10.586661352258787
21,24,21,11,44,8,46,-21.18934172712856
12,22,19,17,34,20,12,14.097050549130211
6,32,22,26,8,35,46,0.009885207023657526
16,34,43,38,24,36,24,20.872004050918797
12,22,3,39,14,40,7,5.015027767002202e-05
41,44,49,27,49,18,46,24.10375534530939
47,46,16,28,45,13,24,17.16137948620352
14,27,5,12,19,5,48,0.009797132580737071
18,16,11,13,52,37,26,14.401816491070187
41,14,35,9,25,26,28,1.6162606126649113
35,27,51,41,22,27,13,15.472495772112827
16,28,35,4,28,35,33,9.065226006807828
41,51,45,28,52,5,45,0.009796561854077715
17,25,48,17,44,24,42,22.272731506951832
35,13,16,10,10,10,6,3.304708763997032
45,35,35,42,38,34,24,30.750915123250152
3,42,51,25,42,8,43,-21.669437684404574
45,24,44,3,48,42,22,4.204136291679013
18,42,33,14,47,31,39,22.1282828588385
15,37,50,36,24,28,37,19.52929852516895
34,37,9,3,38,40,37,-10.603309641802944
17,47,6,5,12,22,5,-21.18448172640344
18,6,10,17,51,18,7,7.349077922180152
32,17,49,3,40,49,34,4.204136291679013
4,34,26,31,31,38,19,-21.1754204056832
7,46,14,15,4,23,48,-21.17966195097283
32,22,17,28,9,29,43,15.08203377807595
41,32,24,32,46,32,25,31.275551970409996
18,30,11,14,52,20,16,14.350215880804422
6,7,43,28,3,4,28,5.0083941091618054e-05
10,48,29,25,6,52,4,-21.177297991605034
10,4,9,10,40,33,36,-10.589363195784333
32,48,44,33,45,40,45,43.05505514413935
8,46,21,6,13,14,34,9.116097096455668
23,7,15,15,31,7,31,-21.189320389815382
10,44,51,52,30,7,45,-21.19139847641287
11,45,10,29,10,37,3,1.6279122485503477
9,38,36,22,11,3,27,2.9300098692678278e-05
4,9,45,31,10,47,38,-21.1754204056832
17,26,13,28,10,36,20,15.452992481561772
27,15,9,41,41,37,44,-10.587504823704418
21,14,39,43,38,18,43,23.90549525190288
14,11,31,11,27,46,12,4.865260069662167
41,11,33,38,5,42,30,-21.188045382075945
25,52,40,35,31,28,11,12.911388456887247
49,14,5,18,38,7,25,-21.092923073295648
26,21,13,50,10,16,44,15.3662554245808
32,22,48,4,27,42,7,7.028674852734089
10,3,20,20,14,45,43,3.304708763997032
5,36,9,52,30,27,8,-10.632534504041283
14,24,44,50,3,3,27,5.0101662255544925e-05
4,37,23,44,39,39,52,-21.1754204056832
11,3,38,36,48,6,10,-21.19135495781476
35,10,28,49,19,21,47,25.677835579960853
4,25,51,37,36,30,49,-21.1754204056832
49,47,39,34,30,25,19,23.480111009087807
43,10,18,50,29,29,4,3.737419290865545
51,48,48,50,18,16,23,21.20008637056205
52,17,33,39,50,21,51,28.28281345805696
15,46,39,29,28,39,6,6.215948145419508
20,16,27,10,41,10,26,3.304708763997032
40,33,51,34,6,34,20,-10.587717078020438
50,46,46,14,27,44,45,22.737188795074086
9,40,29,46,35,39,9,1.6162606126649113
9,10,39,5,8,36,33,-21.196702870186748
29,52,45,42,31,29,13,15.47249632999604
3,49,39,20,27,28,41,-21.644100847438054
40,44,36,11,9,44,14,4.865260069662167
5,36,14,19,49,15,17,-10.642264520520952
26,29,16,30,31,4,37,5.010432981924913e-05
6,32,35,15,22,5,39,5.01401431794076e-05
18,14,13,37,42,51,33,17.09907053493677
5,8,6,3,41,6,43,-21.249786652363998
13,24,29,18,40,11,10,11.673837822771244
18,46,48,49,5,45,41,-21.188048163370585
44,7,5,23,5,21,16,-21.09295173206766
27,14,51,14,51,39,26,22.737188795074086
39,33,51,12,40,22,4,3.7374702213116118
33,15,17,46,25,16,10,11.391300591668731
42,22,26,15,15,35,11,12.800273270934163
13,11,16,30,29,35,34,16.711821199452753
24,7,52,36,5,28,19,-21.188041767979634
34,9,12,27,49,45,10,11.517877965420745
38,51,6,18,9,31,33,-21.18931593695461
43,24,25,32,48,24,16,19.606429980288326
11,13,22,48,16,15,36,4.865260069662167
51,12,11,32,18,31,31,14.40053271790633
44,16,39,12,29,20,21,20.503113824345146
41,23,11,10,29,52,34,3.304708763997032
48,5,32,8,33,49,46,14.794898473806194
24,30,10,15,33,18,31,13.042040042048525
5,27,8,12,39,20,8,-21.186475458590277
48,12,5,47,6,28,45,-21.092922398742108
23,29,25,31,34,29,13,15.47251386360357
22,47,43,19,8,37,27,-10.586875475657838
39,49,19,28,45,31,28,25.47858332693794
48,4,16,12,11,52,18,16.693068237101112
22,19,23,33,30,38,37,28.845668485465
21,13,31,49,8,8,7,-21.177236959651726
23,21,52,31,52,52,7,7.4700912026443635
36,35,37,30,7,33,19,-21.19187178376093
22,40,15,45,6,26,26,-10.587736748145806
11,30,39,39,26,28,23,4.865260069662167
16,17,46,20,36,38,52,20.872004050918797
13,5,17,49,20,51,40,16.748850584287084
38,25,35,31,23,7,6,-21.177236858017313
10,48,38,8,22,42,28,3.304708763997032
26,48,24,42,37,43,13,15.472486246315526
31,18,3,4,40,19,9,4.989744411630655e-05
38,19,26,19,20,7,25,-21.18931534134512
50,47,45,4,45,50,14,9.065226006807828
11,33,18,14,32,26,23,4.865260069662167
21,21,41,31,46,48,18,22.454261911862847
12,12,35,22,22,48,30,15.53283982115792
40,48,7,14,17,16,42,-21.1893240335642
5,45,31,37,44,40,37,-10.642264520520952
8,42,42,4,30,38,49,8.47278550088809
34,5,34,44,12,28,43,17.54716484296132
14,13,11,44,37,21,46,14.244794082654035
38,47,26,50,35,21,3,1.613743531062326
25,16,34,7,30,26,27,13.419275111682117
5,7,31,48,44,39,21,-10.642264520520952
42,49,48,6,43,11,29,11.789866471287176
41,49,5,38,25,24,38,0.009796561854056189
51,14,13,40,23,14,47,16.410062802935453
31,35,36,43,46,18,29,24.10338186066944
27,3,19,27,20,42,19,20.62068717798601
27,33,46,51,17,23,13,15.472495832942348
31,15,49,31,10,14,26,15.66473981949444
51,20,7,33,42,30,8,-21.177236858102596
28,10,37,22,12,21,13,15.669118475425805
16,47,23,41,3,27,15,-21.19039042994064
45,34,18,24,3,34,8,-21.17723686544668
38,6,29,5,13,10,26,10.543825902958336
23,33,10,19,33,18,24,13.041303674768184
41,3,6,45,34,36,21,-21.189384381206946
23,31,14,44,17,8,15,-21.189408447869333
50,22,29,51,52,49,14,16.833297350170398
17,52,50,51,7,15,31,-21.191802067396925
43,21,47,28,25,12,41,15.80781889734857
38,16,44,14,5,27,52,-21.188037952490227
40,37,13,44,43,45,46,17.156781168573822
6,8,44,17,5,48,34,-21.182273042940544
11,50,52,5,14,26,22,4.865260069662167
5,8,32,33,4,16,35,-21.193006766510667
22,33,37,35,50,25,15,18.377580635741715
22,27,3,47,4,18,36,5.010433576379206e-05
49,23,39,30,37,37,41,45.371247763754276
39,9,42,23,39,43,32,28.978259698682134
22,27,6,43,10,15,45,-21.189314969382053
44,21,50,41,46,18,12,14.1140120240066
5,50,41,40,9,12,21,-10.642264520520952
16,24,47,29,47,7,35,-21.189303090912134
21,24,9,43,39,46,22,-10.587504003057518
4,52,22,7,24,6,35,-21.203664835994207
6,6,22,49,13,38,4,0.009218018859090168
25,11,28,33,36,14,50,18.646642755976888
20,13,50,16,19,24,26,24.31219970372942
41,30,18,43,6,49,31,-10.587713581314214
18,48,44,9,8,30,8,-10.590959475419073
31,18,40,30,29,42,7,7.470091689534259
51,37,9,21,43,29,24,-10.587504617143463
36,3,44,9,12,6,50,-21.189769855501687
47,35,6,41,22,17,15,-21.189408440271695
22,28,11,23,8,47,36,-10.587129456357502
3,37,40,38,48,18,41,-21.644100847438054
36,44,22,51,46,29,29,29.637356031904645
47,33,42,41,36,39,4,3.7374195661645095
16,41,45,23,50,9,43,-10.58751335006555
10,19,15,36,39,39,51,3.304708763997032
33,43,39,8,23,13,19,14.654172619352128
48,46,47,34,19,41,14,16.833297245459047
18,31,7,15,6,29,4,-21.177245908455937
27,8,40,22,4,31,19,-21.191504745131947
17,41,35,45,11,28,14,15.589397941205583
48,6,33,26,26,13,39,17.154897370587065
40,3,20,23,31,27,52,20.585069315830346
27,20,13,10,43,12,25,3.304708763997032
18,52,42,45,3,35,4,-21.177237651552733
15,7,8,7,4,22,6,-21.178049380064078
26,22,5,41,24,30,3,0.009448951772801415
16,14,36,50,12,19,33,17.144620820734065
6,31,26,25,22,48,25,0.009885207023657526
26,41,7,6,29,43,14,-21.191352564809335
3,41,3,39,16,12,41,0.009309666356910046
16,13,15,39,48,18,28,19.11720310846195
48,4,15,51,38,44,33,19.883981862379468
18,17,4,27,34,50,26,5.010442902908639e-05
45,3,27,39,46,38,27,20.585055220722634
12,22,26,47,49,4,33,5.00930613214731e-05
41,22,44,26,42,11,10,11.679352759020954
15,7,20,25,30,16,44,19.156878155400697
41,35,5,33,34,50,41,0.009796561854004505
35,22,3,50,30,14,41,5.01043298354592e-05
44,10,10,35,49,46,10,11.391349909932355
49,37,43,48,29,20,16,19.606429948308794
23,30,27,14,52,43,48,22.982495664585006
6,14,21,50,48,34,12,0.009885207023657526
10,39,14,30,40,3,28,4.143368357095542e-05
25,35,6,36,19,20,4,-21.177236867984437
19,17,51,9,22,15,18,1.6162606126649113
40,30,33,40,30,22,48,29.667102597904407
10,21,39,42,3,18,52,-21.19135131538744
44,48,21,35,9,19,27,15.08289453480393
5,9,25,9,46,48,43,-10.642264520520952
12,21,15,50,52,20,48,15.325990257394716
40,41,24,48,26,14,23,18.64799635730158
31,24,38,48,51,46,40,41.30862318597606
37,50,14,43,41,9,26,-10.587504846047299
17,13,44,5,13,44,35,10.688911529997538
14,48,13,9,6,12,18,-10.587769962865435
20,19,47,21,3,9,11,-21.18766753825556
23,44,25,51,36,34,49,30.401143188106293
41,13,12,5,28,42,34,10.654174046942918
10,48,44,19,12,45,43,3.304708763997032
23,7,39,23,29,35,5,4.765379085950665
40,43,24,37,42,48,45,32.43698787796596
46,28,25,12,37,46,49,20.434812639818727
42,30,7,34,37,9,30,-21.189315026268076
22,15,8,43,18,42,23,-21.189314924320673
33,36,49,18,34,12,52,15.807804258556128
20,24,4,3,37,14,36,0.008571661776233405
38,13,52,23,11,34,3,1.613743518732043
7,52,44,25,29,45,12,8.441196103268732
43,12,32,34,19,37,21,25.183900218995063
50,35,39,38,50,25,19,23.480110335595995
44,28,27,30,50,26,3,1.6137435312574024
20,39,44,9,20,32,6,1.6162606126649113
13,36,8,16,23,50,19,-21.189442041676685
18,47,6,31,3,10,9,-21.191151625148066
29,34,10,31,29,49,17,13.048612914080234
29,38,36,39,26,32,32,35.49020295712192
22,4,29,35,31,43,31,23.43700507826131
18,52,20,3,7,8,47,-21.200566217409314
43,52,24,49,30,7,45,-21.189315024021127
52,42,37,50,32,23,18,22.480304100751734
22,29,27,12,52,9,5,-10.664673853890493
51,34,20,17,32,21,28,25.595589605610932
34,31,22,44,50,34,9,10.21173518224808
29,30,13,51,50,24,30,17.156788838660827
38,50,42,48,13,16,7,7.470091691693412
49,41,24,30,32,45,26,32.16139310928772
50,51,23,5,24,23,19,10.691102786861634
15,34,15,37,20,6,44,-21.189418096092943
23,44,39,6,27,39,37,12.160789723833492
45,37,50,21,28,49,14,16.833153307842576
31,17,6,26,36,3,4,5.015032708630657e-05
51,31,34,43,21,43,15,18.51024451187944
14,43,45,16,11,30,34,15.865258806425384
41,28,7,30,47,22,51,-21.189315024121633
5,8,49,21,48,47,4,-10.626021332927259
3,12,25,44,10,10,27,-21.644100847438054
22,42,50,46,17,40,48,23.25787660930068
14,40,33,11,8,51,25,-10.58692198795412
50,37,40,37,25,51,25,31.6450663042533
41,10,11,44,34,32,40,14.400772940332272
44,43,5,11,4,46,52,-21.092972853498004
22,51,24,8,49,25,15,14.861815812560316
19,27,35,35,37,47,19,23.466015057471513
38,26,17,38,42,23,26,22.697846669500066
49,4,28,48,5,46,38,-21.188047584730864
13,40,20,14,12,12,43,14.402787926077782
32,32,41,8,5,5,13,-21.093433479794168
43,26,26,12,36,34,45,20.434812639818727
8,18,7,6,23,43,29,-21.185256300644443
9,30,26,35,47,37,5,1.6162606126649113
19,32,14,4,40,3,31,4.9808544977821946e-05
27,9,16,45,15,28,13,15.665033168290334
23,39,4,25,23,17,23,5.010433544514209e-05
33,41,31,13,41,22,44,21.759820460294875
22,51,5,47,28,9,39,-21.092922780008593
31,23,17,34,20,19,17,20.629027547051347
37,42,52,35,44,27,21,26.891493508418737
27,40,4,50,27,20,40,5.0104329797709724e-05
31,44,25,40,18,36,24,24.62581632365913
44,43,52,34,10,48,6,6.215928431991695
51,26,5,16,14,37,44,0.009796562243452416
8,3,7,27,32,46,6,-21.177791191560914
42,32,48,26,34,32,5,4.765372573471232
41,29,51,47,12,41,16,17.314233683963334
51,24,34,39,52,46,48,46.35975913850995
52,31,45,10,45,24,7,3.304708763997032
11,18,21,5,22,41,8,4.865260069662167
37,4,4,41,24,23,8,5.015045045892179e-05
4,42,43,43,27,29,21,-21.1754204056832
9,52,52,23,15,13,13,1.6162606126649113
17,28,22,25,45,20,17,20.923627662770144
51,19,37,24,34,16,34,21.3574953674814
45,5,19,38,9,30,50,15.084816777090897
44,30,11,11,52,19,50,4.865260069662167
16,47,42,6,31,39,49,12.160789723833492
17,38,43,25,36,47,37,22.31660581051547
16,4,13,46,36,34,48,16.964602669869826
20,24,44,46,41,7,39,-21.18931343498791
21,41,8,33,18,33,24,-21.189313176830783
25,31,22,38,32,16,8,8.904110137345924
40,33,32,8,27,50,33,14.795911195362516
45,51,20,38,38,17,32,22.738276867755218
33,7,42,24,20,46,16,19.608462482779828
29,49,34,11,12,24,30,4.865260069662167
48,17,27,28,30,27,41,36.47827177994778
24,45,6,23,18,8,49,-21.189315026633647
36,45,15,12,50,14,48,18.248917745368196
23,9,40,31,48,16,28,21.352241056022148
50,5,47,51,44,42,45,24.88440238577722
52,47,46,8,21,30,13,14.426612780581777
9,16,16,51,7,18,20,-21.191654990275616
52,42,13,45,14,17,37,17.075100253089634
40,31,48,43,45,18,36,24.103719965488
39,31,46,47,26,16,32,21.357085628450424
41,17,27,22,39,45,7,7.470092116324378
16,15,8,23,29,43,23,-21.189301067422853
20,4,27,51,10,46,38,16.116347877444582
42,17,5,49,16,33,14,0.009795561329299455
49,26,14,22,39,6,7,-21.177236911925096
12,6,24,26,34,40,6,6.216541348359237
4,13,30,4,50,49,33,-21.1754204056832
19,27,19,3,22,14,51,4.204136291679013
26,18,15,47,37,44,39,19.93798818789313
33,47,18,29,36,23,48,24.0375985523398
46,39,9,36,16,50,50,-10.587504838925838
42,43,48,47,18,48,42,24.686694658543317
26,5,41,24,27,41,36,24.888707708940395
42,15,46,45,29,42,46,38.64482739283228
38,46,7,42,27,43,51,-21.189315024010877
41,26,51,50,17,17,33,21.828141955958735
6,4,8,40,37,16,20,-21.17989206060638
10,17,5,22,3,31,35,-21.095123905682584
8,7,14,51,15,44,50,9.957058615410805
32,51,47,22,4,48,19,-21.191504134084358
11,13,23,16,35,32,30,4.865260069662167
50,28,32,4,30,31,5,4.6894952206188
46,34,7,20,35,8,4,-21.177236985643088
44,27,45,20,27,32,12,14.114094518396787
14,3,31,42,19,51,8,8.909565414787433
19,17,25,41,34,9,36,-10.587505472844933
38,18,15,13,47,25,34,19.593555037091015
47,16,12,20,43,44,37,15.808103954157096
41,10,15,19,38,14,39,18.647432261151817
9,33,5,47,6,5,6,-21.06821692504969
17,26,15,34,20,10,5,4.786426674595188
12,42,46,26,48,20,19,15.53283982115792
24,3,11,34,19,7,7,-21.177302640535796
12,5,13,25,42,48,3,1.6135803849812793
7,20,48,10,32,4,37,4.169100604420946e-05
18,33,37,17,15,5,28,0.009796598623793718
26,48,14,52,50,48,44,18.64684142707009
25,47,10,17,50,6,6,-21.17723842674557
22,22,31,40,23,8,51,-21.18931492463872
39,4,9,29,41,28,40,-10.587497919525198
41,10,38,14,34,9,43,-10.58750257628147
31,9,42,24,35,46,52,28.977811268042885
5,46,15,39,50,22,10,-10.639276470152451
35,47,13,37,21,8,38,-21.18931502397002
41,3,18,8,32,20,26,14.794518835386945
37,5,26,31,4,9,46,-21.18931653286887
21,45,9,18,11,44,46,-21.18931747698964
30,46,16,23,16,22,48,20.354242147736933
43,13,27,36,50,40,38,35.950238728247065
12,24,39,7,21,10,30,12.128865997651896
